Dataset,Attack,Method,Percentage of Byzantine Cliets (%),Accuracy,Accept_Rate
Fashion-MNIST-non-IID,SF,TrimmedMean,0.2,0.5221,1.0
Fashion-MNIST-non-IID,SF,Krum,0.2,0.699,1.0
Fashion-MNIST-non-IID,SF,SparseFed-style,0.2,0.3379,1.0
Fashion-MNIST-non-IID,SF,AG-PTR,0.2,0.7261,0.6944444444444444
Fashion-MNIST-non-IID,SF,DP-FedAvg,0.3,0.3758,1.0
Fashion-MNIST-non-IID,SF,Median,0.3,0.3319,1.0
Fashion-MNIST-non-IID,SF,TrimmedMean,0.3,0.3033,1.0
Fashion-MNIST-non-IID,SF,Krum,0.3,0.6946,1.0
Fashion-MNIST-non-IID,SF,SparseFed-style,0.3,0.2416,1.0
Fashion-MNIST-non-IID,SF,AG-PTR,0.3,0.712,0.5333333333333333
Fashion-MNIST-non-IID,SF,DP-FedAvg,0.4,0.2913,1.0
Fashion-MNIST-non-IID,SF,Median,0.4,0.1918,1.0
Fashion-MNIST-non-IID,SF,TrimmedMean,0.4,0.1961,1.0
Fashion-MNIST-non-IID,SF,Krum,0.4,0.7182,1.0
